 ,Name,Latitude,Longitude,Country,CountryCode,Status,ReactorType,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,LastUpdatedAt,Source,IAEAId,Age
238,Fuqing-2,25.443,119.453,China,CN,Operational,PWR,CNP-1000,17-06-2009,16-10-2015,12-10-2023,1000,2016-03-09T18:43:55+02:00,WNA/IAEA,915,7
239,Fuqing-3,25.720278,119.383889,China,CN,Operational,PWR,CNP-1000,31-12-2010,24-10-2016,12-10-2023,1000,2017-02-10T23:59:36+02:00,WNA/IAEA,935,6
240,Fuqing-4,25.720278,119.383889,China,CN,Operational,PWR,CNP-1000,17-11-2012,17-09-2017,12-10-2023,1000,2018-03-10T14:52:08+02:00,WNA/IAEA,936,6
241,Fuqing-5,25.720278,119.383889,China,CN,Operational,PWR,HPR1000,07-05-2015,30-01-2021,12-10-2023,1075,2022-12-30T00:57:40+02:00,WNA/IAEA,937,2
242,Fuqing-6,25.720278,119.383889,China,CN,Operational,PWR,HPR1000,22-12-2015,25-03-2022,12-10-2023,1075,2022-09-24T22:33:57+03:00,WNA/Wikipedia/IAEA,938,1
249,Genkai-3,33.518,129.837,Japan,JP,Operational,PWR,M (4-loop),01-06-1988,18-03-1994,12-10-2023,1127,2015-05-24T04:51:29+03:00,WNA/IAEA,372,29
250,Genkai-4,33.518,129.837,Japan,JP,Operational,PWR,M (4-loop),15-07-1992,25-07-1997,12-10-2023,1127,2015-05-24T04:51:29+03:00,WNA/IAEA,373,26
254,Goesgen,47.366,7.969,Switzerland,CH,Operational,PWR,PWR 3 Loop,01-12-1973,01-11-1979,12-10-2023,920,2022-04-21T20:26:19+03:00,WNA/IAEA,58,43
255,Golfech-1,44.105,0.845,France,FR,Operational,PWR,P4 REP 1300,17-11-1982,01-02-1991,12-10-2023,1310,2015-05-24T04:51:04+03:00,WNA/IAEA,219,32
256,Golfech-2,44.105,0.845,France,FR,Operational,PWR,P4 REP 1300,01-10-1984,04-03-1994,12-10-2023,1310,2015-05-24T04:51:06+03:00,WNA/IAEA,224,29
258,Grand Gulf-1,32.007,-91.045,United States,US,Operational,BWR,BWR-6 (Mark 3),04-05-1974,01-07-1985,12-10-2023,1250,2015-05-24T04:51:49+03:00,WNA/IAEA,715,38
259,Gravelines-1,51.014,2.138,France,FR,Operational,PWR,CP1,01-02-1975,25-11-1980,12-10-2023,910,2015-05-24T04:50:52+03:00,WNA/IAEA,174,42
260,Gravelines-2,51.014,2.138,France,FR,Operational,PWR,CP1,01-03-1975,01-12-1980,12-10-2023,910,2015-05-24T04:50:52+03:00,WNA/IAEA,175,42
261,Gravelines-3,51.014,2.138,France,FR,Operational,PWR,CP1,01-12-1975,01-06-1981,12-10-2023,910,2015-05-24T04:50:53+03:00,WNA/IAEA,181,42
262,Gravelines-4,51.014,2.138,France,FR,Operational,PWR,CP1,01-04-1976,01-10-1981,12-10-2023,910,2015-05-24T04:50:53+03:00,WNA/IAEA,182,42
263,Gravelines-5,51.014,2.138,France,FR,Operational,PWR,CP1,01-10-1979,15-01-1985,12-10-2023,910,2015-05-24T04:51:01+03:00,WNA/IAEA,208,38
264,Gravelines-6,51.014,2.138,France,FR,Operational,PWR,CP1,01-10-1979,25-10-1985,12-10-2023,910,2015-05-24T04:51:02+03:00,WNA/IAEA,209,37
275,H. B. Robinson-2,34.402,-80.158,United States,US,Operational,PWR,WH 3LP (DRYAMB),13-04-1967,07-03-1971,12-10-2023,700,2017-02-10T23:58:01+02:00,WNA/IAEA,619,52
277,Haiyang-1,36.704,121.382,China,CN,Operational,PWR,AP-1000,24-09-2009,22-10-2018,12-10-2023,1126,2019-06-02T20:18:34+03:00,WNA/IAEA,908,4
278,Haiyang-2,36.704,121.382,China,CN,Operational,PWR,AP-1000,20-06-2010,09-01-2019,12-10-2023,1126,2019-06-02T20:18:37+03:00,WNA/IAEA,909,4
288,Hanbit-1,35.405,126.41,South Korea,KR,Operational,PWR,WH F,04-06-1981,25-08-1986,12-10-2023,903,2022-04-21T20:26:19+03:00,IAEA,411,37
289,Hanbit-2,35.405,126.41,South Korea,KR,Operational,PWR,WH F,01-12-1981,10-06-1987,12-10-2023,903,2022-04-21T20:26:19+03:00,IAEA,412,36
290,Hanbit-3,35.405,126.41,South Korea,KR,Operational,PWR,OPR-1000,23-12-1989,31-03-1995,12-10-2023,950,2022-04-21T20:26:19+03:00,IAEA,396,28
291,Hanbit-4,35.405,126.41,South Korea,KR,Operational,PWR,OPR-1000,26-05-1990,01-01-1996,12-10-2023,950,2022-09-24T22:33:57+03:00,IAEA,397,27
292,Hanbit-5,35.405,126.41,South Korea,KR,Operational,PWR,OPR-1000,29-06-1997,21-05-2002,12-10-2023,950,2023-08-28T08:01:45+03:00,IAEA,402,21
293,Hanbit-6,35.405,126.41,South Korea,KR,Operational,PWR,OPR-1000,20-11-1997,24-12-2002,12-10-2023,993,2021-04-20T02:47:37+03:00,IAEA,403,20
294,Hanul-1,37.09,129.384444,South Korea,KR,Operational,PWR,France CPI,26-01-1983,10-09-1988,12-10-2023,903,2022-04-21T20:26:19+03:00,IAEA,413,35
295,Hanul-2,37.09,129.384444,South Korea,KR,Operational,PWR,France CPI,05-07-1983,30-09-1989,12-10-2023,903,2023-08-28T08:01:45+03:00,IAEA,395,34
296,Hanul-3,37.09,129.384444,South Korea,KR,Operational,PWR,OPR-1000,21-07-1993,11-08-1998,12-10-2023,997,2021-04-20T02:47:37+03:00,IAEA,398,25
297,Hanul-4,37.09,129.384444,South Korea,KR,Operational,PWR,OPR-1000,01-11-1993,31-12-1999,12-10-2023,950,2022-04-21T20:26:19+03:00,IAEA,399,23
298,Hanul-5,37.09,129.384444,South Korea,KR,Operational,PWR,OPR-1000,01-10-1999,29-07-2004,12-10-2023,950,2022-04-21T20:26:19+03:00,IAEA,404,19
299,Hanul-6,37.09,129.384444,South Korea,KR,Operational,PWR,OPR-1000,29-09-2000,22-04-2005,12-10-2023,950,2022-04-21T20:26:19+03:00,IAEA,406,18
300,Hartlepool-A1,54.634,-1.18,United Kingdom,GB,Operational,GCR,AGR,01-10-1968,01-04-1989,12-10-2023,590,2021-04-20T02:47:37+03:00,WNA/IAEA,250,34
301,Hartlepool-A2,54.634,-1.18,United Kingdom,GB,Operational,GCR,AGR,01-10-1968,01-04-1989,12-10-2023,595,2021-04-20T02:47:37+03:00,WNA/IAEA,251,34
302,Hatch-1,31.935,-82.346,United States,US,Operational,BWR,BWR-4 (Mark 1),30-09-1968,31-12-1975,12-10-2023,777,2015-05-24T04:51:44+03:00,WNA/IAEA,658,47
303,Hatch-2,31.935,-82.346,United States,US,Operational,BWR,BWR-4 (Mark 1),01-02-1972,05-09-1979,12-10-2023,784,2015-05-24T04:51:47+03:00,WNA/IAEA,687,44
304,Heysham-A1,54.029,-2.912,United Kingdom,GB,Operational,GCR,AGR,01-12-1970,01-04-1989,12-10-2023,611,2015-05-24T04:51:18+03:00,WNA/IAEA,256,34
305,Heysham-A2,54.029,-2.912,United Kingdom,GB,Operational,GCR,AGR,01-12-1970,01-04-1989,12-10-2023,611,2015-05-24T04:51:18+03:00,WNA/IAEA,257,34
306,Heysham-B1,54.029,-2.912,United Kingdom,GB,Operational,GCR,AGR,01-08-1980,01-04-1989,12-10-2023,615,2015-05-24T04:51:18+03:00,WNA/IAEA,259,34
307,Heysham-B2,54.029,-2.912,United Kingdom,GB,Operational,GCR,AGR,01-08-1980,01-04-1989,12-10-2023,615,2015-05-24T04:51:18+03:00,WNA/IAEA,260,34
320,Hongyanhe-1,39.797,121.4765,China,CN,Operational,PWR,CPR-1000,18-08-2007,06-06-2013,12-10-2023,1061,2015-08-23T03:28:28+03:00,WNA/IAEA/GEO,904,10
321,Hongyanhe-2,39.797,121.4765,China,CN,Operational,PWR,CPR-1000,28-03-2008,13-05-2014,12-10-2023,1061,2015-08-23T03:28:28+03:00,WNA/IAEA/GEO,905,9
322,Hongyanhe-3,39.797,121.4765,China,CN,Operational,PWR,CPR-1000,07-03-2009,16-08-2015,12-10-2023,1061,2017-09-25T03:20:36+03:00,WNA/IAEA/GEO,906,8
323,Hongyanhe-4,39.797,121.4765,China,CN,Operational,PWR,CPR-1000,15-08-2009,08-06-2016,12-10-2023,1061,2019-06-02T20:18:47+03:00,WNA/IAEA/GEO,907,7
324,Hongyanhe-5,39.797,121.4831,China,CN,Operational,PWR,ACPR-1000,29-03-2015,31-07-2021,12-10-2023,1061,2022-01-05T00:04:08+02:00,WNA/IAEA/GEO,997,2
325,Hongyanhe-6,39.797,121.4831,China,CN,Operational,PWR,ACPR-1000,24-07-2015,23-06-2022,12-10-2023,1061,2022-09-24T22:33:57+03:00,WNA/IAEA/GEO,998,1
326,Hope Creek-1,39.467,-75.535,United States,US,Operational,BWR,BWR-4 (Mark 1),01-03-1976,20-12-1986,12-10-2023,1067,2015-05-24T04:51:47+03:00,WNA/IAEA,680,36
337,Ikata-3,33.491,132.309,Japan,JP,Operational,PWR,M (3-loop),01-10-1990,15-12-1994,12-10-2023,846,2015-05-24T04:51:29+03:00,WNA/IAEA,374,28
350,Kaiga-1,14.865,74.438,India,IN,Operational,PHWR,Horizontal Pressure Tube type,01-09-1989,16-11-2000,12-10-2023,202,2015-05-24T04:54:05+03:00,WNA/IAEA,289,22
351,Kaiga-2,14.865,74.438,India,IN,Operational,PHWR,Horizontal Pressure Tube type,01-12-1989,16-03-2000,12-10-2023,202,2015-05-24T04:54:05+03:00,WNA/IAEA,290,23
352,Kaiga-3,14.865,74.438,India,IN,Operational,PHWR,Horizontal Pressure Tube type,30-03-2002,06-05-2007,12-10-2023,202,2015-05-24T04:54:05+03:00,WNA/IAEA,291,16
353,Kaiga-4,14.865,74.438,India,IN,Operational,PHWR,Horizontal Pressure Tube type,10-05-2002,20-01-2011,12-10-2023,202,2015-05-24T04:54:06+03:00,WNA/IAEA,292,12
356,Kakrapar-1,21.236,73.351,India,IN,Operational,PHWR,Horizontal Pressure Tube type,01-12-1984,06-05-1993,12-10-2023,202,2015-05-24T04:54:06+03:00,WNA/IAEA,308,30
357,Kakrapar-2,21.236,73.351,India,IN,Operational,PHWR,Horizontal Pressure Tube type,01-04-1985,01-09-1995,12-10-2023,202,2015-05-24T04:54:05+03:00,WNA/IAEA,286,28
358,Kakrapar-3,21.236,73.351,India,IN,Operational,PHWR,PHWR-700,22-11-2010,,,630,2021-02-14T03:47:53+02:00,WNA/IAEA,986,0
360,Kalinin-1,57.903,35.057,Russia,RU,Operational,PWR,VVER V-338,01-02-1977,12-06-1985,12-10-2023,950,2015-05-24T04:51:34+03:00,WNA/IAEA,489,38
361,Kalinin-2,57.903,35.057,Russia,RU,Operational,PWR,VVER V-338,01-02-1982,03-03-1987,12-10-2023,950,2015-05-24T04:51:34+03:00,WNA/IAEA,490,36
362,Kalinin-3,57.903,35.057,Russia,RU,Operational,PWR,VVER V-320,01-10-1985,08-11-2005,12-10-2023,950,2015-05-24T04:51:34+03:00,WNA/IAEA,495,17
363,Kalinin-4,57.903,35.057,Russia,RU,Operational,PWR,VVER V-320,01-08-1986,25-12-2012,12-10-2023,950,2015-05-24T04:51:35+03:00,WNA/IAEA,496,10
366,Kalpakkam-2 (Madras-2 / MAPS2),12.553,80.174,India,IN,Operational,PHWR,Horizontal Pressure Tube type,01-10-1972,21-03-1986,12-10-2023,202,2015-05-24T04:54:06+03:00,WNA/IAEA,305,37
379,Khmelnitski-1,50.301,26.649,Ukraine,UA,Operational,PWR,VVER V-320,01-11-1981,13-08-1988,12-10-2023,950,2015-05-24T04:51:40+03:00,WNA/IAEA,573,35
380,Khmelnitski-2,50.301,26.649,Ukraine,UA,Operational,PWR,VVER V-320,01-02-1985,15-12-2005,12-10-2023,950,2015-05-24T04:51:40+03:00,WNA/IAEA,574,17
384,Koeberg-1,-33.677,18.433,South Africa,ZA,Operational,PWR,CP1,01-07-1976,21-07-1984,12-10-2023,921,2015-05-24T04:51:50+03:00,WNA/IAEA,836,39
385,Koeberg-2,-33.677,18.433,South Africa,ZA,Operational,PWR,CP1,01-07-1976,09-11-1985,12-10-2023,921,2015-05-24T04:51:50+03:00,WNA/IAEA,837,37
386,Kola-1,67.467,32.491,Russia,RU,Operational,PWR,VVER V-230,01-05-1970,28-12-1973,12-10-2023,411,2015-05-24T04:51:32+03:00,WNA/IAEA,453,49
387,Kola-2,67.467,32.491,Russia,RU,Operational,PWR,VVER V-230,01-05-1970,21-02-1975,12-10-2023,411,2015-05-24T04:51:32+03:00,WNA/IAEA,460,48
388,Kola-3,67.467,32.491,Russia,RU,Operational,PWR,VVER V-213,01-04-1977,03-12-1982,12-10-2023,411,2015-05-24T04:51:34+03:00,WNA/IAEA,491,40
389,Kola-4,67.467,32.491,Russia,RU,Operational,PWR,VVER V-213,01-08-1976,06-12-1984,12-10-2023,411,2015-05-24T04:51:34+03:00,WNA/IAEA,492,38
391,Kori-2,35.321,129.295,South Korea,KR,Operational,PWR,WH F,23-12-1977,25-07-1983,12-10-2023,618,2022-04-21T20:26:19+03:00,WNA/IAEA,405,40
392,Kori-3,35.321,129.295,South Korea,KR,Operational,PWR,WH F,01-10-1979,30-09-1985,12-10-2023,1001,2022-04-21T20:26:19+03:00,WNA/IAEA,409,38
393,Kori-4,35.321,129.295,South Korea,KR,Operational,PWR,WH F,01-04-1980,29-04-1986,12-10-2023,1012,2021-04-20T02:47:37+03:00,WNA/IAEA,410,37
398,Kozloduy-5,43.744,23.776,Bulgaria,BG,Operational,PWR,VVER V-320,09-07-1980,23-12-1988,12-10-2023,953,2022-04-21T20:26:19+03:00,WNA/IAEA,20,34
399,Kozloduy-6,43.744,23.776,Bulgaria,BG,Operational,PWR,VVER V-320,01-04-1982,30-12-1993,12-10-2023,1003,2020-04-18T04:46:52+03:00,WNA/IAEA,21,29
400,Krsko,45.939,15.516,Slovenia,SI,Operational,PWR,WH 2LP,30-03-1975,01-01-1983,12-10-2023,632,2017-02-10T23:57:25+02:00,WNA/IAEA,542,40
402,Kudankulam-1,8.167,77.713,India,IN,Operational,PWR,VVER V-412,31-03-2002,31-12-2014,12-10-2023,917,2015-05-24T04:51:50+03:00,WNA/IAEA,852,8
403,Kudankulam-2,8.167,77.713,India,IN,Operational,PWR,VVER V-412,04-07-2002,31-03-2017,12-10-2023,917,2017-09-25T03:20:10+03:00,WNA/IAEA,853,6
415,Kursk-2,51.674,35.607,Russia,RU,Operational,LWGR,RBMK-1000,01-01-1973,17-08-1979,12-10-2023,925,2015-05-24T04:51:34+03:00,WNA/IAEA,485,44
416,Kursk-3,51.674,35.607,Russia,RU,Operational,LWGR,RBMK-1000,01-04-1978,30-03-1984,12-10-2023,925,2015-05-24T04:51:35+03:00,WNA/IAEA,497,39
417,Kursk-4,51.674,35.607,Russia,RU,Operational,LWGR,RBMK-1000,01-05-1981,05-02-1986,12-10-2023,925,2015-05-24T04:51:35+03:00,WNA/IAEA,498,37
419,Laguna Verde-1,19.719,-96.405,Mexico,MX,Operational,BWR,BWR-5,30-09-1976,28-07-1990,12-10-2023,780,2022-04-21T20:26:19+03:00,WNA/IAEA,420,33
420,Laguna Verde-2,19.719,-96.405,Mexico,MX,Operational,BWR,BWR-5,01-06-1977,10-04-1995,12-10-2023,780,2016-03-09T18:43:28+02:00,WNA/IAEA,421,28
421,LaSalle-1,41.246,-88.672,United States,US,Operational,BWR,BWR-5 (Mark 2),10-09-1973,01-01-1984,12-10-2023,1078,2015-05-24T04:51:48+03:00,WNA/IAEA,692,39
422,LaSalle-2,41.246,-88.672,United States,US,Operational,BWR,BWR-5 (Mark 2),10-09-1973,19-10-1984,12-10-2023,1078,2015-05-24T04:51:48+03:00,WNA/IAEA,693,38
424,Leibstadt,47.601,8.183,Switzerland,CH,Operational,BWR,BWR-6,01-01-1974,15-12-1984,12-10-2023,960,2015-05-24T04:50:39+03:00,WNA/IAEA,59,38
425,Leningrad 2-1,59.837,29.039,Russia,RU,Operational,PWR,VVER V-491,25-10-2008,29-10-2018,12-10-2023,1066,22-11-2019,WNA/IAEA,900,4
426,Leningrad 2-2,59.837,29.039,Russia,RU,Operational,PWR,VVER V-491,15-04-2010,18-03-2021,12-10-2023,1066,2021-04-30T21:49:18+03:00,WNA/IAEA,901,2
431,Leningrad-3,59.837,29.039,Russia,RU,Operational,LWGR,RBMK-1000,01-12-1973,29-06-1980,12-10-2023,925,2015-05-24T04:51:34+03:00,WNA/IAEA,493,43
432,Leningrad-4,59.837,29.039,Russia,RU,Operational,LWGR,RBMK-1000,01-02-1975,29-08-1981,12-10-2023,925,2015-05-24T04:51:34+03:00,WNA/IAEA,494,42
435,Limerick-1,40.225,-75.584,United States,US,Operational,BWR,BWR-4 (Mark 2),19-06-1974,01-02-1986,12-10-2023,1055,2015-05-24T04:51:47+03:00,WNA/IAEA,678,37
436,Limerick-2,40.225,-75.584,United States,US,Operational,BWR,BWR-4 (Mark 2),19-06-1974,08-01-1990,12-10-2023,1055,2015-05-24T04:51:47+03:00,WNA/IAEA,679,33
437,Lingao-1,22.606,114.55,China,CN,Operational,PWR,M310,15-05-1997,28-05-2002,12-10-2023,950,2015-05-24T04:50:40+03:00,WNA/IAEA,67,21
438,Lingao-2,22.606,114.55,China,CN,Operational,PWR,M310,28-11-1997,08-01-2003,12-10-2023,950,2015-05-24T04:50:40+03:00,WNA/IAEA,68,20
439,Lingao-3,22.609,114.552,China,CN,Operational,PWR,CPR-1000,15-12-2005,15-09-2010,12-10-2023,1007,2015-05-24T04:51:51+03:00,WNA/IAEA,878,13
440,Lingao-4,22.609,114.552,China,CN,Operational,PWR,CPR-1000,15-06-2006,07-08-2011,12-10-2023,1007,2015-05-24T04:51:51+03:00,WNA/IAEA,875,12
444,Loviisa-1,60.372,26.342,Finland,FI,Operational,PWR,VVER V-213,01-05-1971,09-05-1977,12-10-2023,420,2015-05-24T04:50:50+03:00,WNA/IAEA,157,46
445,Loviisa-2,60.372,26.342,Finland,FI,Operational,PWR,VVER V-213,01-08-1972,05-01-1981,12-10-2023,420,2015-05-24T04:50:50+03:00,WNA/IAEA,158,42
449,Maanshan-1,25.038,121.924,Taiwan,TW,Operational,PWR,WH 3LP (WE 312),21-08-1978,27-07-1984,12-10-2023,936,2021-04-20T02:47:37+03:00,WNA/IAEA,558,39
450,Maanshan-2,25.038,121.924,Taiwan,TW,Operational,PWR,WH 3LP (WE 312),21-02-1979,18-05-1985,12-10-2023,938,2021-04-20T02:47:37+03:00,WNA/IAEA,559,38
452,McGuire-1,35.433,-80.946,United States,US,Operational,PWR,WH 4LP (ICECND),01-04-1971,01-12-1981,12-10-2023,1180,2017-02-10T23:58:55+02:00,WNA/IAEA,690,41
453,McGuire-2,35.433,-80.946,United States,US,Operational,PWR,WH 4LP (ICECND),01-04-1971,01-03-1984,12-10-2023,1180,2017-02-10T23:58:55+02:00,WNA/IAEA,691,39
456,Mihama-3,35.701,135.962,Japan,JP,Operational,PWR,M (3-loop),07-08-1972,01-12-1976,12-10-2023,780,2015-05-24T04:51:27+03:00,WNA/IAEA,338,46
458,Millstone-2,41.312,-72.166,United States,US,Operational,PWR,CE 2LP (DRYAMB),01-11-1969,26-12-1975,12-10-2023,870,2017-02-10T23:58:48+02:00,WNA/IAEA,671,47
459,Millstone-3,41.312,-72.166,United States,US,Operational,PWR,WH 4LP (DRYSUB),09-08-1974,23-04-1986,12-10-2023,1159,2017-02-10T23:59:15+02:00,WNA/IAEA,717,37
460,Mochovce-1,48.261,18.455,Slovakia,SK,Operational,PWR,VVER V-213,13-10-1983,29-10-1998,12-10-2023,408,2021-10-01T00:14:53+03:00,WNA/IAEA,550,24
461,Mochovce-2,48.261,18.455,Slovakia,SK,Operational,PWR,VVER V-213,13-10-1983,11-04-2000,12-10-2023,408,2021-10-01T00:14:53+03:00,WNA/IAEA,551,23
462,Mochovce-3,48.261,18.455,Slovakia,SK,Operational,PWR,VVER V-213,27-01-1987,,,440,2023-08-28T08:01:45+03:00,WNA/IAEA,544,0
465,Monticello,45.334,-93.85,United States,US,Operational,BWR,BWR-3 (Mark 1),19-06-1967,30-06-1971,12-10-2023,545,2017-02-10T23:58:02+02:00,WNA/IAEA,620,52
468,Narora-1,28.156,78.409,India,IN,Operational,PHWR,Horizontal Pressure Tube type,01-12-1976,01-01-1991,12-10-2023,202,2015-05-24T04:54:06+03:00,WNA/IAEA,306,32
469,Narora-2,28.155,78.409,India,IN,Operational,PHWR,Horizontal Pressure Tube type,01-11-1977,01-07-1992,12-10-2023,202,2015-05-24T04:54:06+03:00,WNA/IAEA,307,31
473,Nine Mile Point-1,43.522,-76.412,United States,US,Operational,BWR,BWR-2 (Mark 1),12-04-1965,01-12-1969,12-10-2023,620,2015-05-24T04:51:41+03:00,WNA/IAEA,607,53
474,Nine Mile Point-2,43.522,-76.412,United States,US,Operational,BWR,BWR-5 (Mark 2),01-08-1975,11-03-1988,12-10-2023,1100,2015-05-24T04:51:48+03:00,WNA/IAEA,711,35
475,Ningde-1,27.046,120.287,China,CN,Operational,PWR,CPR-1000,18-02-2008,15-04-2013,12-10-2023,1018,2015-05-24T04:51:56+03:00,WNA/IAEA,921,10
476,Ningde-2,27.046,120.287,China,CN,Operational,PWR,CPR-1000,12-11-2008,04-05-2014,12-10-2023,1018,2015-05-24T04:51:56+03:00,WNA/IAEA,922,9
477,Ningde-3,27.046,120.287,China,CN,Operational,PWR,CPR-1000,08-01-2010,10-06-2015,12-10-2023,1018,2015-08-23T03:28:29+03:00,WNA/IAEA,923,8
478,Ningde-4,27.046,120.287,China,CN,Operational,PWR,CPR-1000,29-09-2010,21-07-2016,12-10-2023,1018,2016-10-03T22:05:23+03:00,WNA/IAEA,924,7
483,Nogent-1,48.517,3.52,France,FR,Operational,PWR,P4 REP 1300,26-05-1981,24-02-1988,12-10-2023,1310,2015-05-24T04:51:03+03:00,WNA/IAEA,215,35
484,Nogent-2,48.517,3.52,France,FR,Operational,PWR,P4 REP 1300,01-01-1982,01-05-1989,12-10-2023,1310,2015-05-24T04:51:03+03:00,WNA/IAEA,216,34
485,North Anna-1,38.061,-77.792,United States,US,Operational,PWR,WH 3LP (DRYSUB),19-02-1971,06-06-1978,12-10-2023,907,2017-02-10T23:58:49+02:00,WNA/IAEA,672,45
486,North Anna-2,38.061,-77.792,United States,US,Operational,PWR,WH 3LP (DRYSUB),19-02-1971,14-12-1980,12-10-2023,907,2017-02-10T23:58:50+02:00,WNA/IAEA,673,42
487,Novovoronezh 2-1,51.273,39.197,Russia,RU,Operational,PWR,VVER V-392M,24-06-2008,27-02-2017,12-10-2023,1114,22-11-2019,WNA/IAEA,898,6
488,Novovoronezh 2-2,51.273,39.197,Russia,RU,Operational,PWR,VVER V-392M,12-07-2009,31-10-2019,12-10-2023,1114,2020-04-18T04:46:52+03:00,WNA/IAEA,899,3
492,Novovoronezh-4,51.275,39.206,Russia,RU,Operational,PWR,VVER V-179,01-07-1967,24-03-1973,12-10-2023,385,2015-05-24T04:51:32+03:00,WNA/IAEA,448,50
493,Novovoronezh-5,52.381,39.211,Russia,RU,Operational,PWR,VVER V-187,01-03-1974,20-02-1981,12-10-2023,950,2015-05-24T04:51:34+03:00,WNA/IAEA,483,42
495,Oconee-1,34.796,-82.894,United States,US,Operational,PWR,B&W LLP (DRYAMB),06-11-1967,15-07-1973,12-10-2023,887,2017-02-10T23:58:05+02:00,WNA/IAEA,624,50
496,Oconee-2,34.796,-82.894,United States,US,Operational,PWR,B&W LLP (DRYAMB),06-11-1967,09-09-1974,12-10-2023,887,2017-02-10T23:58:08+02:00,WNA/IAEA,625,49
497,Oconee-3,34.796,-82.894,United States,US,Operational,PWR,B&W LLP (DRYAMB),06-11-1967,16-12-1974,12-10-2023,887,2017-02-10T23:58:18+02:00,WNA/IAEA,636,48
500,Ohi-3,35.544,135.652,Japan,JP,Operational,PWR,M (4-loop),03-10-1987,18-12-1991,12-10-2023,1127,2015-05-24T04:51:30+03:00,WNA/IAEA,378,31
501,Ohi-4,35.544,135.652,Japan,JP,Operational,PWR,M (4-loop),13-06-1988,02-02-1993,12-10-2023,1127,2015-05-24T04:51:30+03:00,WNA/IAEA,379,30
505,Olkiluoto-1,61.235,21.444,Finland,FI,Operational,BWR,"AA-III, BWR-2500",01-02-1974,10-10-1979,12-10-2023,660,2018-03-10T14:51:29+02:00,WNA/IAEA,159,44
506,Olkiluoto-2,61.235,21.444,Finland,FI,Operational,BWR,"AA-III, BWR-2500",01-11-1975,10-07-1982,12-10-2023,660,2018-03-10T14:51:33+02:00,WNA/IAEA,160,41
507,Olkiluoto-3,61.234,21.435,Finland,FI,Operational,PWR,EPR,12-08-2005,,,1600,2022-04-21T20:26:19+03:00,WNA/IAEA,860,0
514,Oskarshamn-3,57.415,16.666,Sweden,SE,Operational,BWR,"AA-IV, BWR-3000",01-05-1980,15-08-1985,12-10-2023,1050,2018-03-10T14:51:50+02:00,WNA/IAEA,531,38
516,Paks-1,46.574,18.855,Hungary,HU,Operational,PWR,VVER V-213,01-08-1974,10-08-1983,12-10-2023,408,2015-05-24T04:51:21+03:00,WNA/IAEA,278,40
517,Paks-2,46.574,18.855,Hungary,HU,Operational,PWR,VVER V-213,01-08-1974,14-11-1984,12-10-2023,410,2015-05-24T04:51:21+03:00,WNA/IAEA,279,38
518,Paks-3,46.574,18.855,Hungary,HU,Operational,PWR,VVER V-213,01-10-1979,01-12-1986,12-10-2023,410,2015-05-24T04:51:21+03:00,WNA/IAEA,280,36
519,Paks-4,46.574,18.855,Hungary,HU,Operational,PWR,VVER V-213,01-10-1979,01-11-1987,12-10-2023,410,2015-05-24T04:51:21+03:00,WNA/IAEA,281,35
521,Palo Verde-1,33.387,-112.863,United States,US,Operational,PWR,CE80 2LP (DRYAMB),25-05-1976,28-01-1986,12-10-2023,1221,2017-02-10T23:59:21+02:00,WNA/IAEA,789,37
522,Palo Verde-2,33.387,-112.863,United States,US,Operational,PWR,CE80 2LP (DRYAMB),01-06-1976,19-09-1986,12-10-2023,1304,2017-02-10T23:59:22+02:00,WNA/IAEA,790,37
523,Palo Verde-3,33.387,-112.863,United States,US,Operational,PWR,CE80 2LP (DRYAMB),01-06-1976,08-01-1988,12-10-2023,1304,2017-02-10T23:59:23+02:00,WNA/IAEA,791,35
524,Paluel-1,49.857,0.635,France,FR,Operational,PWR,P4 REP 1300,15-08-1977,01-12-1985,12-10-2023,1330,2015-05-24T04:50:57+03:00,WNA/IAEA,191,37
525,Paluel-2,49.857,0.635,France,FR,Operational,PWR,P4 REP 1300,01-01-1978,01-12-1985,12-10-2023,1330,2015-05-24T04:50:57+03:00,WNA/IAEA,192,37
526,Paluel-3,49.857,0.635,France,FR,Operational,PWR,P4 REP 1300,01-02-1979,01-02-1986,12-10-2023,1330,2015-05-24T04:50:58+03:00,WNA/IAEA,193,37
527,Paluel-4,49.857,0.635,France,FR,Operational,PWR,P4 REP 1300,01-02-1980,01-06-1986,12-10-2023,1330,2015-05-24T04:50:58+03:00,WNA/IAEA,194,37
530,Peach Bottom-2,39.759,-76.27,United States,US,Operational,BWR,BWR-4 (Mark 1),31-01-1968,05-07-1974,12-10-2023,1065,2015-05-24T04:51:42+03:00,WNA/IAEA,629,49
531,Peach Bottom-3,39.759,-76.27,United States,US,Operational,BWR,BWR-4 (Mark 1),31-01-1968,23-12-1974,12-10-2023,1065,2015-05-24T04:51:42+03:00,WNA/IAEA,630,48
534,Penly-1,49.975,1.215,France,FR,Operational,PWR,P4 REP 1300,01-09-1982,01-12-1990,12-10-2023,1330,2015-05-24T04:51:05+03:00,WNA/IAEA,221,32
535,Penly-2,49.975,1.215,France,FR,Operational,PWR,P4 REP 1300,01-08-1984,01-11-1992,12-10-2023,1330,2015-05-24T04:51:05+03:00,WNA/IAEA,222,30
